Date,High,Low,Close,Open,Volume
17/10/2017,333.48,311.79,317.08,333.48,509924000
16/10/2017,349.35,332.04,333.38,336.71,692885000
15/10/2017,342.72,320.43,336.6,339.53,635407000
14/10/2017,347.98,334.7,339.63,338.85,516562000
13/10/2017,348.6,299.66,338.76,304.08,1304360000
12/10/2017,309.15,303.29,304.14,303.5,527557000
11/10/2017,304.39,299.1,303.46,301.18,264146000
10/10/2017,306.15,293.17,299.87,297.6,359706000
9/10/2017,309.31,288.19,297.39,308.67,559467000
8/10/2017,312.54,308.03,308.61,311.06,293167000
7/10/2017,313.13,304.98,311.12,308.89,342205000
6/10/2017,308.84,294.95,308.59,295.16,318664000
5/10/2017,298.04,288.84,295.86,292.77,253747000
4/10/2017,299.39,290.9,292.66,292.75,257906000
3/10/2017,300.11,288.13,292.46,297.48,321680000
2/10/2017,302.92,294.58,297.48,302.48,339443000
1/10/2017,303.19,295.06,302.34,301.55,306185000
30/9/2017,303.96,291.11,301.47,291.48,332439000
29/9/2017,299.92,279.77,291.47,299.12,541375000
28/9/2017,307.2,295.47,299.16,306.47,501894000
27/9/2017,308.02,286.82,306.47,287.02,550244000
26/9/2017,293.75,287.02,287.44,292.35,345801000
25/9/2017,293.52,281.88,292.33,282.22,483161000
24/9/2017,292.95,278.13,282.48,286.21,571411000
23/9/2017,286.17,261.12,286.17,264.6,450934000
22/9/2017,270.54,256.22,264.31,258.11,430081000
21/9/2017,286.61,255.02,258.58,283.26,601266000
20/9/2017,290.89,278.05,283.74,282.02,421404000
19/9/2017,295.77,274.48,282.8,293.66,646909000
18/9/2017,293.5,252.23,293.5,252.23,1127750000
17/9/2017,257,235.24,251.75,245.85,427452000
16/9/2017,262.59,238.22,246.52,250.87,711737000
15/9/2017,258.66,195.04,250.46,215.22,1935700000
14/9/2017,280.84,213.91,213.91,276.59,1184590000
13/9/2017,291.12,260.61,277.11,291.12,921692000
12/9/2017,311.2,287.23,291.46,294.63,753144000
11/9/2017,300.69,286.69,294.53,289.75,571307000
10/9/2017,294.76,268.97,288.75,294.06,698326000
9/9/2017,299.89,287.22,294.41,296.17,528621000
8/9/2017,329.64,285.16,296.5,329.64,1098780000
7/9/2017,333.52,319.94,329.43,333.52,718624000
6/9/2017,334.66,313.49,334.34,313.8,1058830000
5/9/2017,318.57,268.29,312.99,297.57,1551050000
4/9/2017,347.13,279.94,295.17,347.13,1801690000
3/9/2017,366.49,332.23,347.48,350.23,986266000
2/9/2017,389.35,328.1,348.98,387.82,1483600000
1/9/2017,390.04,383.47,387.74,383.47,874222000
31/8/2017,386.14,376.35,383.04,378.44,706254000
30/8/2017,388.75,361.97,378.49,369.47,1333320000
29/8/2017,373.76,347.79,370.67,347.97,1220030000
28/8/2017,352.05,338.41,347.75,350.04,854319000
27/8/2017,347.89,334.36,347.89,334.36,633370000
26/8/2017,334.99,327.92,333.88,331.99,514181000
25/8/2017,336.4,325.8,331.92,326.11,760329000
24/8/2017,327.96,317.08,325.61,317.45,697665000
23/8/2017,324.21,314.54,317.52,315.27,811990000
22/8/2017,327.36,297.91,314.79,321.06,1336400000
21/8/2017,347.05,297.23,321.59,300.48,2448970000
20/8/2017,301.43,291.58,301.43,296.64,571947000
19/8/2017,301.67,286.18,297.47,296.18,860202000
18/8/2017,307.96,292.5,295.59,301.7,936160000
17/8/2017,311.03,300.25,301.46,302.81,909494000
16/8/2017,303.41,285.39,302.27,289.82,967643000
15/8/2017,300.41,279.33,289.82,299.95,1051800000
14/8/2017,306.81,296.41,300.1,298.03,864391000
13/8/2017,310.82,289.31,298.06,310.37,1369370000
